h_ct,h_lat,h_lon
48201450600,29.76924887,-95.61500801
48201450700,29.76684965,-95.58339275
48201450801,29.76018293,-95.56873118
48201450802,29.75290184,-95.56554672
48201450900,29.74212121,-95.56494111
48201451001,29.74241321,-95.57758273
48201451002,29.74084292,-95.58548677
48201451100,29.75638448,-95.58083433
48201451200,29.75580906,-95.59587022
48201451300,29.744513,-95.597607
48201451401,29.7503672,-95.61236675
48201451402,29.74125769,-95.61226544
48201451403,29.74567275,-95.62152226
48201451500,29.76011443,-95.6173612
48201451601,29.76405546,-95.63359785
48201451602,29.74565222,-95.63446924
48201451700,29.73243052,-95.63151707
48201451800,29.72026093,-95.63125365
48201451901,29.72181104,-95.61139635
48201451902,29.72245308,-95.59869775
48201452000,29.7326857,-95.60688058
48201452100,29.72630102,-95.58212455
48201452201,29.73225374,-95.56464171
48201452202,29.72262538,-95.56468577
48201452300,29.71085727,-95.56434887
48201452400,29.71005017,-95.57951186
48201452500,29.70903661,-95.60096142
48201452600,29.70802916,-95.62849249
48201452700,29.69643428,-95.62889886
48201452801,29.69613603,-95.60948938
48201452802,29.69628623,-95.60019979
48201452900,29.69630745,-95.5918491
48201453000,29.69612039,-95.5792367
48201453100,29.69671151,-95.56419462
48201453200,29.68202118,-95.56448477
48201453300,29.66416778,-95.5651036
48201453401,29.6544925,-95.5762822
48201453402,29.66578498,-95.5761387
48201453403,29.66976122,-95.58513134
48201453501,29.66414879,-95.58994633
48201453502,29.67116151,-95.59824059
48201453601,29.68223372,-95.59157803
48201453602,29.68168902,-95.57877337
48201453700,29.68297459,-95.60519021
48201453800,29.67118562,-95.60884986
48201453900,29.68332777,-95.626827
48201454000,29.69600422,-95.65107068
48201454100,29.70538927,-95.65383024
48201454200,29.7051011,-95.66930398
48201454301,29.7217505,-95.65178128
48201454302,29.71483963,-95.67022757
48201454400,29.74928805,-95.67232999
48201454501,29.76803617,-95.70113923
48201454502,29.74161734,-95.71581155
48201454600,29.78026495,-95.73570731
48201454700,29.76632479,-95.72601296
48201454800,29.76698831,-95.7433013
48201454900,29.75022062,-95.73843116
48201455000,29.75433136,-95.75812953
48201455101,29.76677035,-95.75960665
48201455102,29.76640241,-95.77115617
48201455200,29.77991468,-95.76444296
48201455300,29.77637375,-95.78984392
48201510100,29.77007999,-95.37133706
48201510200,29.76986015,-95.38618256
48201510300,29.78409534,-95.37884417
48201510400,29.78375084,-95.39259842
48201510500,29.78382703,-95.40349128
